date,gender,nation,jerk,born,bweight,pid,snatch,snatch3,snatch1,snatch2,rank_s,total,rank_cj,name,jerk1,rank,jerk3,jerk2,category,event
12.2015,w,BRA,92,04.06.1999,47.94,0,77,*80,74,77,1,169,1,DE SOUZA FACCIOLLA FERREIRA Aline,89,1,*95,92,48,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,w,ECU,89,31.05.1996,47.47,1,70,70,66,*70,3,159,2,CAMPOVERDE ALMEIDA Angelica Mercedes,85,2,89,*89,48,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,w,CHI,55,25.11.1999,47.16,2,50,*53,45,50,4,105,3,ARAVENA VASQUEZ Allianni M.D.L.A.  ,55,3,*60,*60,48,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,w,BRA,---,31.01.1998,47.56,3,75,*78,*75,75,2,0,---,OLIVEIRA MADEIRA Luana,*88,---,*89,*88,48,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,w,BRA,101,12.03.1989,52.97,4,84,*87,80,84,1,185,1,DE AGUIAR GONCALVES Alexsandra,*100,1,101,*101,53,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,w,ECU,95,22.02.1997,52.63,5,76,76,70,73,2,171,2,CARRIEL CAJAPE Stefani Jamileth,90,2,*99,95,53,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,w,PER,89,04.08.2000,52.52,6,68,68,62,66,3,157,3,PAREDES VASQUEZ Eldi Jhasmin,82,3,89,86,53,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,m,PER,136,02.06.1995,55.82,7,104,104,100,*104,3,240,1,ROJAS CONCHA Marcos Antonio,131,1,*140,136,56,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,m,ECU,135,18.11.1993,55.78,8,104,*109,104,*109,2,239,2,ZURITA VALLEJO Walter Freddy,130,2,135,*135,56,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,m,CHI,131,14.05.1987,55.76,9,101,101,*101,*101,4,232,3,BARRERA SANDOVAL Francisco Javier,129,3,131,*131,56,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,m,ECU,126,16.10.1997,55.48,10,104,104,100,*104,1,230,4,FERRUZOLA ALAVA Rafael Patricio,122,4,*130,126,56,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,m,PER,115,28.02.1998,53.95,11,95,95,85,90,5,210,5,GASTELO CARRERA George Ulises,105,5,115,110,56,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,w,BRA,100,20.06.1987,57.35,12,85,85,*85,*85,1,185,1,DOS REIS SANTOS Rosane,100,1,*105,*105,58,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,w,PER,95,12.08.1999,55.41,13,70,70,67,*70,2,165,2,MEGO CONTRERAS Shoely Mabel,88,2,95,92,58,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,w,PER,74,10.08.2000,53.60,14,62,*64,58,62,3,136,3,SILVA RAMIREZ Stefania Nicole,70,3,*76,74,58,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,w,BOL,---,01.07.1990,57.22,15,---,*61,55,*60,DSQ,0,DSQ,VILLARROEL AGRAMONT Daniela N.,*70,DSQ,75,70,58,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,m,PER,146,03.10.1995,61.80,16,118,118,110,115,1,264,1,BARDALEZ TUISIMA Luis David,137,1,146,142,62,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,m,PER,138,03.11.1994,61.76,17,111,111,105,108,2,249,2,PRECIADO REYES Miguel Angel,*132,2,138,132,62,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,m,ARG,136,21.06.1996,61.71,18,101,*106,96,101,4,237,3,JIMENES Nahuel Carlos Daniel,125,3,136,130,62,SOUTH-AMERICAN CHAMPIONSHIPS
12.2015,m,BRA,131,27.12.1996,61.43,19,105,*110,*105,105,3,236,4,FERNANDES SILVEIRA Gabriel,128,4,*138,131,62,SOUTH-AMERICAN CHAMPIONSHIPS
